所有路线信息：,,,,,,,,,,,
 ,编号,名称,总站点数,总公里数,总耗时,起始站点编号,终止站点编号,负责人姓名,负责人办公室电话,负责人移动电话,负责人电子邮箱
,r00001,泉武线,3,20.299999,12,s00100,s10000,Gray,110,11010,grayxu@hust.edu.cn
,r00002,沁苑线,2,213.5,32,s00200,s20000,zi,220,21010,chh1@gmail.com
,,,,,,,,,,,
,,,,,,,,,,,
所有站点信息：,,,,,,,,,,,
,,,,,,,,,,,
 ,路线r00001 的站点信息：,,,,,,,,,,
 ,固定配送路线编号,序号,编号,名称,与起始站点距离,与上一个站点距离,与上一个站点交通耗时,停留耗时,经过本站点固定路线编号,,
 ,r00001,1,s00100,东九,0,0,0,1,r00002,,
 ,r00001,2,s00200,东十二,10,20,10,1,无,,
,,,,,,,,,,,
 ,路线r00002 的站点信息：,,,,,,,,,,
 ,固定配送路线编号,序号,编号,名称,与起始站点距离,与上一个站点距离,与上一个站点交通耗时,停留耗时,经过本站点固定路线编号,,
 ,r00002,1,s00003,紫菘,0,0,0,1,无,,
 ,r00002,2,s20000,东九,30,30,30,1,r00002,,
,,,,,,,,,,,
,,,,,,,,,,,
所有车辆信息：,,,,,,,,,,,
,,,,,,,,,,,
 ,站点s00100 的车辆信息：,,,,,,,,,,
 ,车辆牌照,执行配送路线编号,司机姓名,司机移动电话,载货种类,载货容量,卸货种类,卸货容量,,,
 ,鄂A11111,r00001,张小三,11110,糖果,2.3,糖果,1,,,
 ,鄂A11000,r00001,张大三,11111,糖果,2.3,糖果,1,,,
,,,,,,,,,,,
 ,站点s00200 的车辆信息：,,,,,,,,,,
 ,车辆牌照,执行配送路线编号,司机姓名,司机移动电话,载货种类,载货容量,卸货种类,卸货容量,,,
 ,鄂A12222,r00002,陈小四,11110,糖果,2.3,糖果,1,,,
 ,鄂A11022,r00002,林中七,11111,糖果,2.3,糖果,1,,,
,,,,,,,,,,,
 ,站点s00003 的车辆信息：,,,,,,,,,,
 ,车辆牌照,执行配送路线编号,司机姓名,司机移动电话,载货种类,载货容量,卸货种类,卸货容量,,,
 ,闽A88888,r00002,欧拉,7894,物理书,56,数学书,30,,,
,,,,,,,,,,,
 ,站点s20000 的车辆信息：,,,,,,,,,,
 ,车辆牌照,执行配送路线编号,司机姓名,司机移动电话,载货种类,载货容量,卸货种类,卸货容量,,,
 ,鄂A44444,r00001,布莱恩特,11110,球衣,2.3,球衣,1,,,
 ,鄂A14444,r00001,加内特,11111,锅,2.3,锅,1,,,
,,,,,,,,,,,
,,,,,,,,,,,
统计信息：,,,,,,,,,,,
,,,,,,,,,,,
 ,路线总数：,2,,,,,,,,,
 ,站点总数：,4,,,,,,,,,
 ,车辆总数：,7,,,,,,,,,
,,,,,,,,,,,
 ,路线总里程：,233.8,,,,,,,,,
 ,路线平均里程：,116.9,,,,,,,,,
 ,最长里程数：,213.5,路线r00002,,,,,,,,
 ,最短里程数：,20.3,路线r00001,,,,,,,,
,,,,,,,,,,,
 ,最长耗时：,32,路线r00002,,,,,,,,
 ,最短耗时：,22,路线r00001,,,,,,,,
 ,平均耗时：,27,,,,,,,,,
,,,,,,,,,,,
 ,总载货量：,69.8,,,,,,,,,
 ,平均载货量：,9.9714,,,,,,,,,
 ,最大载货量：,56,闽A88888,,,,,,,,
 ,最小载货量：,2.3,鄂A11000,,,,,,,,
,,,,,,,,,,,
 ,平均配送效率：,0.2985,,,,,,,,,
 ,最高配送效率：,0.2623,闽A88888,,,,,,,,
 ,最低配送效率：,0.0108,鄂A12222,,,,,,,,
 ,PS:配送效率指载货量与配送时间之比,,,,,,,,,,
